time_ms,thumb_angle,index_angle,middle_angle,ring_angle,pinky_angle,grip_force,emg_level,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,exercise_state,interpretation
0,5.3,0.7,3.7,8.6,8.4,3,92,0.0,0.032,0.967,0.411,-0.339,-0.649,rest,no_exercise
100,4.6,4.6,3.8,3.5,4.8,1,85,0.019,0.037,0.937,0.888,-0.102,0.65,rest,no_exercise
200,4.2,3.9,3.6,1.7,5.5,2,117,0.088,-0.111,0.911,0.163,0.404,-0.256,rest,no_exercise
300,2.4,2.5,7.3,3.2,7.7,2,80,0.057,-0.056,0.983,0.372,-0.187,0.084,rest,no_exercise
400,2.9,4.9,2.3,5.8,4.3,5,63,0.053,0.04,0.963,-0.24,0.533,0.293,rest,no_exercise
500,3.2,2.9,4.9,4.2,8.3,2,55,-0.058,-0.052,0.991,0.637,0.07,0.024,rest,no_exercise
600,5.5,3.3,5.7,2.0,7.3,2,94,0.122,-0.006,0.908,0.4,0.979,0.028,rest,no_exercise
700,3.7,2.3,4.2,4.7,4.5,2,68,-0.003,0.011,1.018,-1.069,-0.397,-0.299,rest,no_exercise
800,3.5,4.9,5.3,2.5,6.6,3,66,0.043,-0.058,0.982,0.232,0.921,-0.074,rest,no_exercise
900,5.3,3.3,4.6,1.7,3.4,0,79,0.073,-0.003,0.934,-0.36,0.43,-0.184,rest,no_exercise
1000,0.1,7.6,0.6,7.1,5.3,0,111,0.019,-0.046,0.999,-0.247,-0.124,0.616,rest,no_exercise
1100,3.1,5.9,7.0,5.2,3.6,0,84,-0.03,0.004,0.926,0.109,0.23,0.084,rest,no_exercise
1200,0.7,3.0,7.7,5.5,6.8,0,76,0.053,-0.054,0.941,-0.485,-0.036,-0.383,rest,no_exercise
1300,3.5,4.3,1.7,5.2,4.4,5,93,0.003,0.015,1.001,0.328,-0.038,-0.49,rest,no_exercise
1400,1.4,3.0,6.4,5.2,5.2,2,72,0.017,-0.078,1.055,-0.022,0.114,-0.41,rest,no_exercise
1500,4.0,3.0,5.2,5.9,4.7,3,54,0.129,-0.019,0.988,-0.625,-0.221,0.515,rest,no_exercise
1600,4.6,1.4,4.3,4.1,5.0,1,87,0.052,-0.095,0.978,-0.23,0.084,0.187,rest,no_exercise
