time_ms,thumb_angle,index_angle,middle_angle,ring_angle,pinky_angle,grip_force,emg_level,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,exercise_state,interpretation
0,7.3,1.8,5.1,1.6,3.9,2,86,0.09,-0.021,0.969,-0.249,0.144,0.074,rest,no_exercise
100,9.8,0.0,4.2,2.1,7.7,1,48,0.086,-0.016,0.947,-0.189,-0.509,-0.473,rest,no_exercise
200,5.1,0.6,4.9,4.7,6.8,3,81,0.067,-0.043,0.972,0.597,0.511,0.377,rest,no_exercise
300,8.0,4.9,0.7,3.0,5.9,2,105,0.021,0.028,1.012,0.085,0.316,0.091,rest,no_exercise
400,6.9,3.2,3.9,1.0,3.6,4,67,-0.016,-0.016,0.972,0.356,-0.735,0.219,rest,no_exercise
500,5.8,3.0,2.3,1.1,7.0,7,59,0.07,-0.025,0.951,-1.094,-0.075,-0.108,rest,no_exercise
600,4.8,0.0,2.4,2.2,5.3,0,81,-0.001,0.031,0.936,-0.773,-0.176,0.006,rest,no_exercise
700,4.3,0.3,4.5,3.0,7.5,1,32,0.091,0.074,1.054,0.046,-0.285,-0.006,rest,no_exercise
800,7.3,0.0,2.9,4.7,6.6,1,73,0.036,-0.054,0.892,-0.748,0.345,-0.491,rest,no_exercise
900,5.5,4.7,4.6,0.5,4.6,3,69,0.099,-0.121,0.919,-0.179,0.022,0.485,rest,no_exercise
1000,5.2,5.3,3.2,1.7,8.5,1,68,-0.065,-0.0,0.933,-0.265,0.647,0.448,rest,no_exercise
1100,6.3,1.4,1.1,5.9,7.8,2,88,0.015,-0.086,0.946,-0.113,0.422,0.282,rest,no_exercise
1200,9.4,4.6,1.2,2.7,7.7,7,55,0.051,0.01,0.944,-0.318,-0.233,0.097,rest,no_exercise
1300,7.8,1.8,2.2,0.9,6.9,3,68,0.125,0.03,1.003,-1.659,-0.571,-0.553,rest,no_exercise
1400,7.0,1.9,3.2,3.9,11.1,2,69,-0.028,-0.012,0.924,0.381,-0.32,-0.107,rest,no_exercise
1500,6.2,1.4,1.7,1.6,6.3,0,68,0.102,-0.023,0.997,0.325,-0.586,0.076,rest,no_exercise
1600,5.9,4.9,2.6,4.4,5.0,6,62,0.051,-0.021,0.985,0.172,-0.372,-0.127,rest,no_exercise
1700,8.4,2.4,4.8,1.5,4.9,3,66,-0.073,-0.095,0.99,-0.106,-0.155,-0.166,rest,no_exercise
1800,6.5,2.8,1.5,0.0,9.1,3,66,0.037,-0.033,1.026,0.223,0.205,0.216,rest,no_exercise
