time_ms,thumb_angle,index_angle,middle_angle,ring_angle,pinky_angle,grip_force,emg_level,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,exercise_state,interpretation
0,7.9,8.4,0.3,4.1,9.0,2,95,-0.02,0.006,0.859,-0.119,-0.035,-0.524,rest,no_exercise
100,4.9,6.5,5.0,2.9,6.1,4,92,0.034,0.033,0.998,-0.031,-0.381,-0.143,rest,no_exercise
200,5.9,7.7,4.5,4.6,6.8,4,63,0.019,-0.03,0.99,0.147,0.759,-0.172,rest,no_exercise
300,5.6,6.5,5.6,1.2,5.9,2,61,0.08,0.024,1.027,-0.033,-0.054,-0.216,rest,no_exercise
400,1.5,7.9,3.3,5.7,4.8,1,48,0.056,-0.083,0.922,-0.052,0.617,0.222,rest,no_exercise
500,7.7,5.1,3.1,2.2,7.0,1,71,-0.014,0.048,0.887,-0.261,0.611,-0.049,rest,no_exercise
600,6.1,8.2,3.1,5.1,10.3,2,100,0.052,0.051,0.896,0.44,0.629,0.568,rest,no_exercise
700,8.9,7.3,1.4,5.7,5.8,1,57,-0.022,-0.025,0.991,0.267,0.446,0.118,rest,no_exercise
800,4.9,7.2,3.2,3.8,6.0,4,71,0.041,-0.02,0.99,-0.286,-0.263,-0.233,rest,no_exercise
900,2.7,7.1,6.3,2.7,2.9,0,92,-0.052,-0.097,0.885,-0.457,-0.405,-0.495,rest,no_exercise
1000,6.7,4.9,3.3,6.0,9.3,4,91,0.022,-0.032,0.965,-0.022,0.034,-0.499,rest,no_exercise
1100,5.7,8.7,4.3,3.3,6.2,4,62,0.055,-0.03,0.94,0.275,0.277,-0.393,rest,no_exercise
1200,8.3,5.5,2.1,1.5,5.1,6,78,0.07,0.03,0.964,-0.961,0.198,-0.279,rest,no_exercise
1300,4.4,7.3,1.4,4.2,7.7,3,84,0.026,-0.021,0.933,0.223,0.278,-0.06,rest,no_exercise
1400,4.8,5.8,2.5,4.5,6.7,1,62,0.105,-0.003,0.988,-0.012,0.326,0.585,rest,no_exercise
1500,5.4,4.1,1.8,3.1,3.8,0,82,-0.046,-0.048,1.016,0.044,0.012,-0.042,rest,no_exercise
1600,6.3,3.8,1.9,1.5,6.0,1,58,0.043,-0.069,0.972,-0.212,-0.076,0.269,rest,no_exercise
1700,4.5,5.4,5.4,4.1,3.5,4,58,0.115,-0.061,0.922,-0.288,0.189,-0.237,rest,no_exercise
1800,5.7,7.3,4.5,2.1,4.4,0,72,0.091,-0.035,0.945,0.359,-0.496,-0.001,rest,no_exercise
1900,4.8,7.5,0.8,5.3,4.9,2,102,0.041,0.076,1.025,0.097,-0.715,0.19,rest,no_exercise
2000,5.5,2.8,7.6,1.2,8.8,1,98,0.02,0.014,0.968,0.176,-0.256,-0.095,rest,no_exercise
2100,7.7,7.3,3.0,3.6,6.1,4,85,-0.021,-0.02,0.95,0.038,0.388,-0.104,rest,no_exercise
2200,5.8,5.9,2.5,2.5,6.2,0,87,0.027,0.05,0.957,0.421,-0.371,-0.391,rest,no_exercise
2300,5.0,3.7,7.0,7.9,5.7,1,99,0.053,0.073,0.98,1.195,0.285,-0.162,rest,no_exercise
2400,6.4,9.5,3.5,5.7,6.7,3,45,-0.016,-0.027,0.917,-0.469,-0.196,0.068,rest,no_exercise
2500,5.6,5.2,4.1,3.6,4.7,2,49,0.028,-0.053,0.976,1.584,-0.231,0.273,rest,no_exercise
2600,6.0,4.3,4.2,6.1,3.1,0,82,0.03,-0.008,1.04,-0.78,0.514,0.259,rest,no_exercise
2700,2.4,5.7,4.4,6.7,7.8,7,48,0.015,-0.05,0.952,-0.753,-0.087,-0.23,rest,no_exercise
2800,4.7,6.9,1.7,4.8,5.4,1,119,0.088,-0.05,0.97,0.281,0.783,0.217,rest,no_exercise
2900,5.5,7.0,4.4,3.0,6.8,1,59,-0.035,0.025,0.966,0.114,0.03,-0.28,rest,no_exercise
3000,63.5,66.7,64.8,59.1,62.2,3,191,0.01,-0.065,0.863,3.337,0.072,0.165,hand_opening,movement_phase
3100,57.9,59.2,60.2,58.7,58.3,5,231,0.009,-0.025,0.981,1.69,0.766,1.648,hand_opening,movement_phase
3200,52.8,51.7,52.1,51.3,50.5,5,247,0.006,-0.014,0.963,2.334,-0.555,0.351,hand_opening,movement_phase
3300,49.1,52.3,49.2,45.1,43.5,3,159,0.051,-0.02,0.998,3.819,0.376,0.42,hand_opening,movement_phase
3400,46.9,49.9,46.6,41.7,44.3,7,200,0.009,-0.033,0.991,1.747,-0.613,-0.314,hand_opening,movement_phase
3500,40.1,43.4,44.9,37.3,36.5,6,162,0.015,-0.038,0.938,2.345,1.937,0.713,hand_opening,movement_phase
3600,36.8,37.4,32.1,35.3,33.0,4,187,-0.026,-0.018,0.979,1.724,0.691,-0.583,hand_opening,movement_phase
3700,33.6,33.9,32.0,31.5,31.2,4,194,0.028,-0.031,0.974,3.12,-0.578,0.747,hand_opening,movement_phase
3800,25.1,28.5,25.4,25.1,28.2,4,200,-0.121,-0.058,0.961,2.358,-0.953,-0.333,hand_opening,movement_phase
3900,22.7,24.2,25.4,23.2,21.4,1,212,-0.02,-0.021,0.965,3.169,0.486,-0.169,hand_opening,movement_phase
4000,20.4,20.1,21.1,17.1,17.7,1,186,0.045,-0.07,0.925,0.675,-0.416,0.189,hand_opening,movement_phase
4100,13.9,19.4,15.7,13.5,15.1,3,198,0.072,-0.013,0.975,2.177,-1.472,0.587,hand_opening,movement_phase
4200,14.6,12.1,12.7,11.9,8.2,0,197,0.042,-0.036,0.981,3.96,0.137,1.475,hand_opening,movement_phase
4300,9.1,8.9,11.6,6.8,7.2,1,197,-0.016,0.036,1.006,2.61,-0.4,0.775,hand_opening,movement_phase
4400,12.9,10.3,14.8,6.4,12.8,8,201,-0.017,-0.033,0.985,5.486,0.644,0.443,hand_closing,movement_phase
4500,10.5,11.0,18.5,12.2,9.9,8,256,0.065,-0.0,0.988,4.284,-1.018,-0.302,hand_closing,movement_phase
4600,17.4,13.5,18.0,20.5,18.7,14,294,0.078,0.017,0.913,2.77,0.661,-0.608,hand_closing,movement_phase
4700,20.4,20.6,20.3,17.3,24.5,15,266,-0.035,-0.062,1.025,5.159,0.017,-1.161,hand_closing,movement_phase
4800,23.7,25.9,23.7,24.2,30.6,14,290,-0.006,-0.036,0.94,3.851,0.612,0.87,hand_closing,movement_phase
4900,26.2,34.0,32.9,29.5,28.1,21,308,0.063,0.053,0.87,4.966,0.428,1.331,hand_closing,movement_phase
5000,28.3,31.9,37.0,33.8,35.1,21,326,0.11,-0.008,1.1,2.002,-1.226,0.862,hand_closing,movement_phase
5100,36.0,30.6,34.2,36.4,38.9,21,316,0.108,-0.032,1.009,0.697,-0.571,-0.658,hand_closing,movement_phase
5200,38.3,48.5,43.0,43.5,41.0,27,346,-0.019,-0.056,1.041,4.737,1.854,-0.129,hand_closing,movement_phase
5300,44.8,44.8,45.7,41.8,45.5,26,359,0.001,-0.045,0.902,0.639,1.434,-1.251,hand_closing,movement_phase
5400,42.7,48.5,50.2,42.5,50.5,25,390,0.019,-0.044,1.014,3.118,-1.806,-0.235,hand_closing,movement_phase
5500,46.7,52.4,56.9,50.0,54.2,32,365,0.018,-0.07,1.013,4.335,1.193,0.641,hand_closing,movement_phase
5600,58.4,55.9,57.6,55.9,60.0,36,394,0.034,-0.02,0.99,2.375,1.136,-0.184,hand_closing,movement_phase
5700,60.3,60.7,59.7,61.1,58.6,39,437,-0.035,-0.072,1.038,2.24,-0.314,0.572,hand_closing,movement_phase
5800,60.6,67.6,69.0,69.2,64.8,42,427,0.05,0.017,0.993,3.975,0.755,-0.118,hand_closing,movement_phase
5900,67.0,70.8,74.1,68.7,67.6,46,429,0.003,-0.047,0.996,6.466,0.502,-0.795,hand_closing,movement_phase
6000,67.2,68.2,67.6,70.9,64.4,62,472,-0.116,-0.029,1.041,0.965,0.018,-0.328,grip_hold,successful_grip
6100,66.9,67.8,69.7,66.5,69.0,63,464,-0.016,-0.01,0.933,0.52,-0.939,-0.766,grip_hold,successful_grip
6200,69.4,67.7,66.7,68.6,64.7,61,485,-0.058,-0.008,0.951,0.091,-0.007,-1.25,grip_hold,successful_grip
6300,66.7,66.2,65.9,66.1,68.3,58,436,0.066,-0.044,1.032,-0.191,-0.294,-0.361,grip_hold,successful_grip
6400,69.2,68.8,64.9,67.3,65.7,59,452,-0.016,-0.086,0.96,1.838,1.075,-0.582,grip_hold,successful_grip
6500,69.1,69.4,69.0,67.1,69.1,61,473,-0.067,-0.047,0.881,-0.298,-0.381,-0.32,grip_hold,successful_grip
6600,70.5,67.9,63.7,69.3,68.2,58,462,0.026,-0.052,0.955,-0.373,0.125,-0.222,grip_hold,successful_grip
6700,68.9,72.8,69.7,71.3,69.3,59,454,0.029,0.024,0.955,-0.708,0.037,1.147,grip_hold,successful_grip
6800,69.9,71.4,69.9,68.0,66.5,60,470,0.062,-0.03,1.009,-0.062,-1.027,0.03,grip_hold,successful_grip
6900,68.2,66.0,69.3,66.6,66.5,57,465,0.045,-0.045,0.974,0.368,0.272,0.517,grip_hold,successful_grip
7000,66.1,68.1,67.4,70.6,71.8,59,461,0.054,-0.008,0.904,-0.187,-0.18,-1.136,grip_hold,successful_grip
7100,67.7,69.1,64.4,66.3,63.7,59,451,-0.046,-0.031,0.97,-0.818,-1.592,0.258,grip_hold,successful_grip
7200,65.9,70.5,67.8,69.2,64.6,63,443,-0.022,-0.069,1.009,0.441,-1.039,-0.794,grip_hold,successful_grip
7300,74.3,66.5,66.8,67.8,68.4,55,428,0.014,-0.086,0.976,0.934,0.534,-0.637,grip_hold,successful_grip
7400,73.1,71.8,64.7,66.3,66.7,40,374,0.025,0.017,0.892,-5.114,-0.201,0.034,release,movement_phase
7500,67.5,67.3,65.7,64.9,67.0,40,289,0.012,-0.011,0.96,-3.967,-0.502,-1.898,release,movement_phase
7600,57.9,57.4,55.3,56.8,57.5,40,342,0.048,-0.056,0.941,-2.999,0.03,-1.161,release,movement_phase
7700,55.1,56.5,54.0,55.8,56.8,37,307,0.033,-0.074,0.977,-3.542,1.11,0.289,release,movement_phase
7800,49.7,51.8,46.4,46.6,49.4,34,302,-0.005,-0.07,1.05,-4.356,0.403,0.851,release,movement_phase
7900,47.5,49.3,41.3,46.4,40.9,28,305,0.015,-0.0,0.961,-3.067,-0.106,-1.12,release,movement_phase
8000,38.3,43.3,35.1,44.1,40.8,29,275,0.054,-0.003,0.958,-2.649,0.036,-0.63,release,movement_phase
8100,38.3,34.1,33.4,36.7,40.1,24,238,0.02,0.026,1.034,-2.815,0.417,0.572,release,movement_phase
8200,34.6,32.0,28.9,30.1,30.2,19,253,-0.013,-0.016,1.006,-0.409,-0.095,0.742,release,movement_phase
8300,28.7,27.0,27.8,26.3,24.8,22,214,0.012,0.001,0.945,-3.878,1.135,0.87,release,movement_phase
8400,25.5,24.4,21.4,21.6,23.5,12,178,0.046,0.029,0.981,-2.498,0.016,1.109,release,movement_phase
