time_ms,thumb_angle,index_angle,middle_angle,ring_angle,pinky_angle,grip_force,emg_level,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,exercise_state,interpretation
0,4.8,4.8,4.9,5.8,4.8,1,84,0.015,-0.014,0.983,0.116,0.582,0.328,rest,no_exercise
100,5.4,4.4,4.0,5.5,6.8,2,79,0.031,-0.039,0.971,0.245,0.437,-0.12,rest,no_exercise
200,5.9,5.8,6.4,4.2,6.2,0,49,0.008,-0.028,1.006,0.332,-0.61,0.424,rest,no_exercise
300,4.5,5.6,5.4,5.9,6.7,3,84,0.033,-0.0,0.961,-0.359,-0.235,0.25,rest,no_exercise
400,5.7,8.8,5.0,4.6,6.9,3,86,0.037,0.019,0.977,-0.711,-0.266,0.476,rest,no_exercise
500,4.4,6.2,6.5,5.8,7.0,3,108,0.032,-0.022,0.963,-0.416,0.476,-0.283,rest,no_exercise
600,6.3,7.3,5.5,6.0,4.2,1,73,0.028,0.014,0.979,0.131,0.084,0.542,rest,no_exercise
700,7.6,6.9,5.3,7.6,7.0,3,80,0.059,-0.017,1.028,0.058,-0.258,-0.564,rest,no_exercise
800,6.5,8.4,7.7,7.5,3.8,3,87,0.009,-0.023,0.98,0.862,-0.528,-0.214,rest,no_exercise
900,8.4,6.3,6.4,6.9,5.3,2,65,0.038,-0.01,1.049,0.14,0.683,-0.652,rest,no_exercise
1000,6.8,7.3,9.0,4.9,8.1,3,98,0.034,-0.009,0.964,-0.624,0.098,-0.096,rest,no_exercise
1100,9.4,6.2,7.3,5.1,6.5,2,90,0.049,-0.011,0.946,0.229,0.258,0.246,rest,no_exercise
1200,6.2,8.4,7.1,7.8,8.5,3,83,0.063,-0.005,0.971,0.056,0.741,0.059,rest,no_exercise
1300,7.6,8.4,6.4,4.9,7.4,2,73,0.037,0.002,0.95,0.259,-0.098,-0.742,rest,no_exercise
1400,7.5,6.9,6.1,7.6,7.6,1,85,0.04,-0.024,0.991,0.001,1.133,-0.931,rest,no_exercise
1500,7.7,6.5,6.8,9.2,6.9,4,75,0.027,-0.02,0.959,0.031,-0.141,0.101,rest,no_exercise
1600,4.3,9.2,6.6,8.9,5.6,2,118,0.003,-0.04,0.964,0.236,0.347,0.645,rest,no_exercise
1700,6.4,4.8,6.2,8.2,7.3,0,80,0.048,0.033,0.997,0.155,-0.62,-0.422,rest,no_exercise
1800,6.6,7.2,7.3,6.0,5.2,1,66,0.033,-0.056,0.97,0.225,0.761,0.036,rest,no_exercise
1900,7.6,5.9,5.5,5.6,8.2,3,86,0.087,-0.011,0.999,0.154,-0.111,1.158,rest,no_exercise
2000,8.0,4.5,5.7,6.7,7.1,1,53,-0.018,-0.011,0.977,0.173,-0.385,-0.612,rest,no_exercise
2100,3.6,6.4,6.4,7.2,6.9,2,96,0.017,-0.023,0.964,-0.292,-1.083,0.078,rest,no_exercise
2200,6.1,5.3,4.9,6.2,7.8,2,74,0.008,-0.011,0.942,-0.063,0.031,0.922,rest,no_exercise
